0.000000000,N
0.046439909,Edim
2.925714286,Eb
4.086712018,F6
4.597551020,G
5.247709751,F6
6.222947846,Eb
7.151746032,F
7.662585034,G7
8.266303855,Dm7
9.287981859,Eb
10.170340136,F
10.634739229,Gm
12.492335601,D
15.418049887,G6
16.161088435,Bbmaj7
16.950566893,C7
17.461405896,D7
18.483083900,G
19.969160998,Am7
20.712199546,D7
21.501678005,Bb6
23.034195011,C6
23.823673469,Eb
24.613151927,D
27.445986395,G
28.328344671,C
28.932063492,G
31.439818594,Bb6
32.136417234,C7
32.786575964,Dm
33.854693878,G/A
34.458412698,Bbmaj7
35.294331066,D7
36.641088435,G7
37.244807256,A7
37.523446712,Bb6
38.266485261,C6
38.823764172,D7
39.009523810,Eb
39.845442177,D
42.910476190,G7
46.439909297,C7
47.368707483,Eb6
48.576145125,G
49.365623583,F6
50.340861678,Ebmaj7
51.176780045,F
51.826938776,G
52.430657596,F6
53.405895692,Ebmaj7
54.288253968,Bb
55.820770975,C7
56.563809524,D
59.628843537,G
60.418321995,Bbmaj7
61.068480726,Am7
61.811519274,D7
62.554557823,G7
63.297596372,C7
64.458594104,D7
65.619591837,Gmaj7
66.548390023,Bbmaj7
67.198548753,Cmaj7
67.709387755,Eb6
68.684625850,D
71.610340136,G
72.446258503,C
73.049977324,Gm7
86.935510204,Ebmaj7
88.421587302,Dm7
89.814784580,G
90.650702948,Gm
91.533061224,C6
91.951020408,Dmaj7
93.019138322,G
93.576417234,Bbmaj7
94.505215420,C7
95.248253968,G/A
96.548571429,Bbmaj7
97.152290249,C7
97.941768707,D7
98.963446712,Bbmaj7
100.681723356,C6
101.006802721,D
102.167800454,G
102.678639456,A7
103.050158730,Bb6
103.607437642,Eb6
104.118276644,D7
105.232834467,G/A
105.975873016,Bbmaj7
106.765351474,C7
107.136870748,D7
108.204988662,G
109.040907029,Bbmaj7
109.830385488,Eb6
111.362902494,D
114.520816327,G7
117.957369615,Gm
118.468208617,C#maj7
118.932607710,Eb6
120.186485261,G
120.836643991,F6
121.811882086,Eb
122.740680272,F
123.297959184,G
123.901678005,F6
124.876916100,Ebmaj7
125.712834467,Bb
127.338231293,C7
128.034829932,D7
131.099863946,Bb6
132.585941043,C6
133.236099773,D
133.793378685,A7
134.861496599,Bb6
135.604535147,C7
136.208253968,D
137.090612245,Gm7
138.669569161,Cmaj7
139.041088435,D7
139.459047619,Eb6
140.248526077,D
143.034920635,G
144.892517007,F
146.146394558,Ebmaj7
155.434376417,D
158.452970522,Bb6
159.939047619,C
160.403446712,D
161.100045351,G/A
162.400362812,F#maj7
162.911201814,Cm7
163.607800454,D
164.490158730,Bb6
166.069115646,C
166.672834467,Ebmaj7
167.648072562,D
170.480907029,G
171.409705215,C
171.966984127,Gm7
186.549115646,C6
186.920634921,Dm7
188.685351474,Gm7
199.505850340,G
202.524444444,Eb
203.360362812,F
203.639002268,G
204.521360544,F6
205.543038549,Eb6
206.425396825,F
206.889795918,G
207.586394558,F6
208.561632653,Ebmaj7
209.443990930,Dm7
210.976507937,C7
211.719546485,D7
217.524535147,Gm7
219.614331066,N
224.444081633,N
