0.000000000,N
1.857596372,Cmaj7
5.387029478,Bm7
8.823582766,Am7
10.727619048,Am7/D
12.445895692,G
13.746213152,G/F#
14.046213152,G/E
14.396371882,G/D
15.928888889,C
19.551201814,Bm7
22.894875283,Am7
24.891791383,Am/D
26.656507937,Gsus4
28.656507937,G
30.185941043,C6
31.950657596,D6
33.668934240,C6
35.526530612,D6
37.198367347,G
39.009523810,Bm
39.799002268,F#7
40.867120181,Em7
43.003356009,D7
44.303673469,C
46.161269841,Bm7
47.879546485,Am7
49.876462585,D7
51.455419501,G
53.220136054,Bm
54.102494331,F#7
54.984852608,Fm7b5/Eb
56.052970522,G
57.910566893,D
58.514285714,C
60.325442177,Bm7
62.090158730,Am7
64.040634921,D
65.666031746,B
69.195464853,Em
70.960181406,G/D
71.796099773,D6
72.678458050,C
74.582494331,G/B
76.207891156,Am7
78.065487528,D
80.666122449,Em7b5/D
81.594920635,Cmaj7
85.170793651,Bm7
88.514467120,A7
90.464943311,D7
92.229659864,Gmaj7
93.576417234,Em
94.226575964,G
95.712653061,C6
99.381405896,Bm7
102.725079365,Am7
104.721995465,D7
106.486712018,Em7b5/D
108.158548753,G
110.573424036,C7
111.270022676,D7
111.734421769,G
114.195736961,Bb/C
115.263854875,G
117.678730159,Cm7
118.421768707,D
119.629206349,C#m7b5/B
120.558004535,C7
121.022403628,D7
122.554920635,G
124.226757370,F#7
126.130793651,Em7
127.895510204,D7
129.428027211,C
131.239183673,Baug
133.050340136,A7
134.861496599,D7
135.697414966,Gmaj7
138.344489796,F#7
140.202086168,E7
142.013242630,D7
143.592199546,C
145.449795918,B
147.214512472,A7
148.979229025,D6
150.836825397,B
154.273378685,E
155.573696145,Em7
156.456054422,D
157.756371882,C
159.660408163,G/B
161.378684807,Am7
163.143401361,D
165.744036281,Ddim
166.719274376,Cmaj7
170.341587302,G/B
173.778140590,Am7
175.682176871,D7
177.307573696,Gmaj7
178.654331066,Em
179.350929705,G
180.883446712,C6
183.298321995,Cmaj7
184.505759637,G/B
186.131156463,Bm7
187.802993197,Am7
189.939229025,D7
190.542947846,G
194.165260771,Ab7
196.765895692,C#maj7
200.434648526,Cm7
203.964081633,Bb7
205.775238095,Eb7
207.493514739,Abmaj7
208.793832200,Fm
209.443990930,Abmaj7
210.976507937,C#maj7
214.645260771,Cm7
218.174693878,Bb7
219.939410431,Ab/Eb
221.704126984,C#maj7
225.280000000,Cm7
228.762993197,Bb7
230.574149660,Eb7
232.292426304,Ab
242.880725624,N
